date,state,positive
3/7/21,FL,1909209
3/6/21,FL,1905185
3/5/21,FL,1900598
3/4/21,FL,1894722
3/3/21,FL,1888725
3/2/21,FL,1882865
3/1/21,FL,1875818
2/28/21,FL,1874154
2/27/21,FL,1868769
2/26/21,FL,1863453
2/25/21,FL,1857670
2/24/21,FL,1851151
2/23/21,FL,1844228
2/22/21,FL,1838745
2/21/21,FL,1834708
2/20/21,FL,1829773
2/19/21,FL,1822644
2/18/21,FL,1816108
2/17/21,FL,1811078
2/16/21,FL,1803893
2/15/21,FL,1797728
2/14/21,FL,1794155
2/13/21,FL,1788827
2/12/21,FL,1781450
2/11/21,FL,1774013
2/10/21,FL,1765659
2/9/21,FL,1758254
2/8/21,FL,1751343
2/7/21,FL,1745744
2/6/21,FL,1739276
2/5/21,FL,1731931
2/4/21,FL,1720760
2/3/21,FL,1712326
2/2/21,FL,1705632
2/1/21,FL,1695300
1/31/21,FL,1689700
1/30/21,FL,1682096
1/29/21,FL,1667442
1/28/21,FL,1656697
1/27/21,FL,1645507
1/26/21,FL,1637296
1/25/21,FL,1627830
1/24/21,FL,1619288
1/23/21,FL,1609953
1/22/21,FL,1597849
1/21/21,FL,1584442
1/20/21,FL,1571840
1/19/21,FL,1560015
1/18/21,FL,1550444
1/17/21,FL,1542567
1/16/21,FL,1531830
1/15/21,FL,1519944
1/14/21,FL,1503529
1/13/21,FL,1490148
1/12/21,FL,1476484
1/11/21,FL,1461958
1/10/21,FL,1450620
1/9/21,FL,1438579
1/8/21,FL,1423510
1/7/21,FL,1404374
1/6/21,FL,1385040
1/5/21,FL,1367778
1/4/21,FL,1352222
1/3/21,FL,1341287
1/2/21,FL,1331059
1/1/21,FL,1300528
12/31/20,FL,1300528
12/30/20,FL,1283701
12/29/20,FL,1270063
12/28/20,FL,1258315
12/27/20,FL,1250275
12/26/20,FL,1243118
12/25/20,FL,1226530
12/24/20,FL,1226530
12/23/20,FL,1213760
12/22/20,FL,1202660
12/21/20,FL,1192456
12/20/20,FL,1181549
12/19/20,FL,1173409
12/18/20,FL,1161953
12/17/20,FL,1149126
12/16/20,FL,1136024
12/15/20,FL,1124742
12/14/20,FL,1115446
12/13/20,FL,1107103
12/12/20,FL,1098341
12/11/20,FL,1087956
12/10/20,FL,1076547
12/9/20,FL,1065476
12/8/20,FL,1056065
12/7/20,FL,1048264
12/6/20,FL,1040727
12/5/20,FL,1032552
12/4/20,FL,1022354
12/3/20,FL,1012456
12/2/20,FL,1001800
12/1/20,FL,991910
11/30/20,FL,983370
11/29/20,FL,976944
11/28/20,FL,969813
11/27/20,FL,963751
11/26/20,FL,946956
11/25/20,FL,946956
11/24/20,FL,938830
11/23/20,FL,930728
11/22/20,FL,924614
11/21/20,FL,918240
11/20/20,FL,910065
11/19/20,FL,901234
11/18/20,FL,892352
11/17/20,FL,884625
11/16/20,FL,877340
11/15/20,FL,872810
11/14/20,FL,862990
11/13/20,FL,858585
11/12/20,FL,851825
11/11/20,FL,846321
11/10/20,FL,840652
11/9/20,FL,836370
11/8/20,FL,832525
11/7/20,FL,825906
11/6/20,FL,821526
11/5/20,FL,816376
11/4/20,FL,810256
11/3/20,FL,805924
11/2/20,FL,801371
11/1/20,FL,796802
10/31/20,FL,791997
10/30/20,FL,789714
10/29/20,FL,784331
10/28/20,FL,780220
10/27/20,FL,776215
10/26/20,FL,771989
10/25/20,FL,768653
10/24/20,FL,766305
10/23/20,FL,761924
10/22/20,FL,758306
10/21/20,FL,752845
10/20/20,FL,750739
10/19/20,FL,747183
10/18/20,FL,745492
10/17/20,FL,743018
10/16/20,FL,739050
10/15/20,FL,735685
10/14/20,FL,732399
10/13/20,FL,729591
10/12/20,FL,726934
10/11/20,FL,725415
10/10/20,FL,720001
10/9/20,FL,720001
10/8/20,FL,717148
10/7/20,FL,713902
10/6/20,FL,711358
10/5/20,FL,709157
10/4/20,FL,707751
10/3/20,FL,705965
10/2/20,FL,703212
10/1/20,FL,700602
9/30/20,FL,698051
9/29/20,FL,696171
9/28/20,FL,692962
9/27/20,FL,692234
9/26/20,FL,690387
9/25/20,FL,687656
9/24/20,FL,684847
9/23/20,FL,682370
9/22/20,FL,679776
9/21/20,FL,677362
9/20/20,FL,675691
9/19/20,FL,673194
9/18/20,FL,669684
9/17/20,FL,666507
9/16/20,FL,663234
9/15/20,FL,660946
9/14/20,FL,658203
9/13/20,FL,656485
9/12/20,FL,654090
9/11/20,FL,650922
9/10/20,FL,647318
9/9/20,FL,644781
9/8/20,FL,642775
9/7/20,FL,640978
9/6/20,FL,639166
9/5/20,FL,636653
9/4/20,FL,633060
9/3/20,FL,629913
9/2/20,FL,626426
9/1/20,FL,624116
8/31/20,FL,616629
8/30/20,FL,614753
8/29/20,FL,612206
8/28/20,FL,609074
8/27/20,FL,605342
8/26/20,FL,602113
8/25/20,FL,599176
8/24/20,FL,596511
8/23/20,FL,594287
8/22/20,FL,591283
8/21/20,FL,587023
8/20/20,FL,582407
8/19/20,FL,577891
8/18/20,FL,573811
8/17/20,FL,570024
8/16/20,FL,567375
8/15/20,FL,563628
8/14/20,FL,557337
8/13/20,FL,549340
8/12/20,FL,543113
8/11/20,FL,535018
