date,state,death,deathIncrease,hospitalized,hospitalizedCumulative,hospitalizedIncrease,negative,negativeIncrease,positive,positiveIncrease,positiveScore,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsPeopleViralIncrease,totalTestsViralIncrease
2021-03-07,FL,32266,66,82237,82237,92,9339038,19166,1909209,4024,0,22339182,64599,22339182,64599,23190,52132
2021-03-06,FL,32200,107,82145,82145,243,9319872,23282,1905185,4587,0,22274583,87820,22274583,87820,27869,59303
2021-03-05,FL,32093,138,81902,81902,302,9296590,26910,1900598,5876,0,22186763,106925,22186763,106925,32786,77877
2021-03-04,FL,31955,126,81600,81600,322,9269680,26450,1894722,5997,0,22079838,104245,22079838,104245,32447,74448
2021-03-03,FL,31829,133,81278,81278,306,9243230,17249,1888725,5860,0,21975593,73990,21975593,73990,23109,51529
2021-03-02,FL,31696,140,80972,80972,313,9225981,33192,1882865,7047,0,21901603,116917,21901603,116917,40239,89285
2021-03-01,FL,31556,150,80659,80659,87,9192789,7255,1875818,1664,0,21784686,22888,21784686,22888,8919,22915
2021-02-28,FL,31406,126,80572,80572,105,9185534,22572,1874154,5385,0,21761798,77453,21761798,77453,27957,64408
2021-02-27,FL,31280,118,80467,80467,229,9162962,25314,1868769,5316,0,21684345,90722,21684345,90722,30630,68213
2021-02-26,FL,31162,144,80238,80238,282,9137648,26855,1863453,5783,0,21593623,105518,21593623,105518,32638,75982
2021-02-25,FL,31018,140,79956,79956,281,9110793,29829,1857670,6519,0,21488105,118508,21488105,118508,36348,83120
2021-02-24,FL,30878,129,79675,79675,265,9080964,29359,1851151,6923,0,21369597,105398,21369597,105398,36282,85494
2021-02-23,FL,30749,154,79410,79410,314,9051605,21886,1844228,5483,0,21264199,76769,21264199,76769,27369,63708
2021-02-22,FL,30595,161,79096,79096,150,9029719,17496,1838745,4037,0,21187430,54779,21187430,54779,21533,46923
2021-02-21,FL,30434,95,78946,78946,106,9012223,22676,1834708,4935,0,21132651,72854,21132651,72854,27611,57184
2021-02-20,FL,30339,125,78840,78840,250,8989547,32585,1829773,7129,0,21059797,115318,21059797,115318,39714,83211
2021-02-19,FL,30214,224,78590,78590,295,8956962,27701,1822644,6536,0,20944479,101356,20944479,101356,34237,76321
2021-02-18,FL,29990,166,78295,78295,301,8929261,19376,1816108,5030,0,20843123,73326,20843123,73326,24406,50223
2021-02-17,FL,29824,165,77994,77994,308,8909885,28762,1811078,7185,0,20769797,103720,20769797,103720,35947,77389
2021-02-16,FL,29659,225,77686,77686,314,8881123,25432,1803893,6165,0,20666077,90631,20666077,90631,31597,70063
2021-02-15,FL,29434,159,77372,77372,117,8855691,15019,1797728,3573,0,20575446,49636,20575446,49636,18592,42868
2021-02-14,FL,29275,96,77255,77255,121,8840672,24458,1794155,5328,0,20525810,77846,20525810,77846,29786,65503
2021-02-13,FL,29179,118,77134,77134,261,8816214,28940,1788827,7377,0,20447964,104841,20447964,104841,36317,80932
2021-02-12,FL,29061,190,76873,76873,286,8787274,29198,1781450,7437,0,20343123,109356,20343123,109356,36635,85324
2021-02-11,FL,28871,180,76587,76587,301,8758076,30793,1774013,8354,0,20233767,122288,20233767,122288,39147,88408
2021-02-10,FL,28691,165,76286,76286,285,8727283,27677,1765659,7405,0,20111479,101357,20111479,101357,35082,79153
2021-02-09,FL,28526,239,76001,76001,353,8699606,24690,1758254,6911,0,20010122,91141,20010122,91141,31601,72831
2021-02-08,FL,28287,126,75648,75648,133,8674916,21924,1751343,5599,0,19918981,69118,19918981,69118,27523,63818
2021-02-07,FL,28161,103,75515,75515,152,8652992,27601,1745744,6468,0,19849863,89947,19849863,89947,34069,79722
2021-02-06,FL,28058,145,75363,75363,301,8625391,28676,1739276,7345,0,19759916,108034,19759916,108034,36021,79877
2021-02-05,FL,27913,215,75062,75062,341,8596715,44918,1731931,11171,0,19651882,176996,19651882,176996,56089,122801
2021-02-04,FL,27698,226,74721,74721,338,8551797,17814,1720760,8434,0,19474886,68280,19474886,68280,26248,62373
2021-02-03,FL,27472,203,74383,74383,422,8533983,21756,1712326,6694,0,19406606,79696,19406606,79696,28450,52205
2021-02-02,FL,27269,140,73961,73961,410,8512227,31742,1705632,10332,0,19326910,109904,19326910,109904,42074,93464
2021-02-01,FL,27129,214,73551,73551,167,8480485,19021,1695300,5600,0,19217006,59496,19217006,59496,24621,54434
2021-01-31,FL,26915,120,73384,73384,164,8461464,39124,1689700,7604,0,19157510,129743,19157510,129743,46728,106467
2021-01-30,FL,26795,110,73220,73220,276,8422340,63111,1682096,14654,0,19027767,207768,19027767,207768,77765,164521
2021-01-29,FL,26685,229,72944,72944,341,8359229,11105,1667442,10745,0,18819999,54799,18819999,54799,21850,56253
2021-01-28,FL,26456,207,72603,72603,388,8348124,36266,1656697,11190,0,18765200,133418,18765200,133418,47456,71394
2021-01-27,FL,26249,169,72215,72215,363,8311858,19453,1645507,8211,0,18631782,65513,18631782,65513,27664,22113
2021-01-26,FL,26080,231,71852,71852,465,8292405,23990,1637296,9466,0,18566269,88400,18566269,88400,33456,75761
2021-01-25,FL,25849,156,71387,71387,168,8268415,25355,1627830,8542,0,18477869,80045,18477869,80045,33897,76322
2021-01-24,FL,25693,132,71219,71219,182,8243060,27674,1619288,9335,0,18397824,102178,18397824,102178,37009,82643
2021-01-23,FL,25561,156,71037,71037,270,8215386,48994,1609953,12104,0,18295646,169590,18295646,169590,61098,138643
2021-01-22,FL,25405,277,70767,70767,461,8166392,22189,1597849,13407,0,18126056,83831,18126056,83831,35596,82008
2021-01-21,FL,25128,163,70306,70306,352,8144203,37904,1584442,12602,0,18042225,131557,18042225,131557,50506,111467
2021-01-20,FL,24965,145,69954,69954,471,8106299,26957,1571840,11825,0,17910668,89293,17910668,89293,38782,85876
2021-01-19,FL,24820,163,69483,69483,318,8079342,26994,1560015,9571,0,17821375,92379,17821375,92379,36565,86434
2021-01-18,FL,24657,142,69165,69165,178,8052348,22048,1550444,7877,0,17728996,74912,17728996,74912,29925,68542
2021-01-17,FL,24515,135,68987,68987,207,8030300,66648,1542567,10737,0,17654084,107367,17654084,107367,77385,95191
2021-01-16,FL,24380,211,68780,68780,336,7963652,36230,1531830,11886,0,17546717,122159,17546717,122159,48116,101755
2021-01-15,FL,24169,188,68444,68444,433,7927422,39799,1519944,16415,0,17424558,141762,17424558,141762,56214,127003
2021-01-14,FL,23981,222,68011,68011,413,7887623,37435,1503529,13381,0,17282796,134756,17282796,134756,50816,109483
2021-01-13,FL,23759,174,67598,67598,440,7850188,39033,1490148,13664,0,17148040,116070,17148040,116070,52697,105916
2021-01-12,FL,23585,161,67158,67158,420,7811155,40252,1476484,14526,0,17031970,117059,17031970,117059,54778,113009
2021-01-11,FL,23424,163,66738,66738,205,7770903,26775,1461958,11338,0,16914911,96946,16914911,96946,38113,93865
2021-01-10,FL,23261,111,66533,66533,201,7744128,35722,1450620,12041,0,16817965,102271,16817965,102271,47763,94979
2021-01-09,FL,23150,139,66332,66332,346,7708406,31803,1438579,15069,0,16715694,122817,16715694,122817,46872,107151
2021-01-08,FL,23011,194,65986,65986,364,7676603,42110,1423510,19136,0,16592877,141599,16592877,141599,61246,129677
2021-01-07,FL,22817,170,65622,65622,390,7634493,42130,1404374,19334,0,16451278,140840,16451278,140840,61464,123722
2021-01-06,FL,22647,132,65232,65232,449,7592363,38374,1385040,17262,0,16310438,114362,16310438,114362,55636,110152
2021-01-05,FL,22515,100,64783,64783,386,7553989,33771,1367778,15556,0,16196076,100188,16196076,100188,49327,91766
2021-01-04,FL,22415,105,64397,64397,181,7520218,22720,1352222,10935,0,16095888,75287,16095888,75287,33655,71627
2021-01-03,FL,22310,100,64216,64216,187,7497498,24021,1341287,10228,0,16020601,69851,16020601,69851,34249,66554
2021-01-02,FL,22210,220,64029,64029,288,7473477,68413,1331059,30531,0,15950750,247151,15950750,247151,98944,217713
2021-01-01,FL,21990,0,63741,63741,0,7405064,0,1300528,0,0,15703599,0,15703599,0,0,0
2020-12-31,FL,21990,133,63741,63741,366,7405064,44106,1300528,16827,0,15703599,119229,15703599,119229,60933,113684
2020-12-30,FL,21857,139,63375,63375,376,7360958,28033,1283701,13638,0,15584370,140593,15584370,140593,41671,131549
2020-12-29,FL,21718,105,62999,62999,492,7332925,32749,1270063,11748,0,15443777,35797,15443777,35797,44497,50317
