date,state,death,deathIncrease,hospitalizedCurrently,inIcuCurrently,onVentilatorCurrently,positive,positiveIncrease,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,Population
3/7/21,NY,39029.0,59,4789.0,999.0,682,1681169,6789,39695100,227768,39695100,227768,20201249
3/6/21,NY,38970.0,79,4954.0,1012.0,694,1674380,7647,39467332,273132,39467332,273132,20201249
3/5/21,NY,38891.0,95,5034.0,1030.0,700,1666733,8956,39194200,296935,39194200,296935,20201249
3/4/21,NY,38796.0,61,5177.0,1043.0,712,1657777,7593,38897265,270089,38897265,270089,20201249
3/3/21,NY,38735.0,75,5323.0,1047.0,735,1650184,7704,38627176,218069,38627176,218069,20201249
3/2/21,NY,38660.0,83,5369.0,1076.0,747,1642480,5800,38409107,128034,38409107,128034,20201249
3/1/21,NY,38577.0,80,5307.0,1065.0,741,1636680,6235,38281073,174158,38281073,174158,20201249
2/28/21,NY,38497.0,90,5259.0,1083.0,728,1630445,7580,38106915,273720,38106915,273720,20201249
2/27/21,NY,38407.0,86,5445.0,1121.0,753,1622865,8141,37833195,285307,37833195,285307,20201249
2/26/21,NY,38321.0,94,5626.0,1132.0,771,1614724,8204,37547888,291189,37547888,291189,20201249
2/25/21,NY,38227.0,92,5703.0,1124.0,774,1606520,8746,37256699,278942,37256699,278942,20201249
2/24/21,NY,38135.0,104,5876.0,1154.0,800,1597774,6189,36977757,216813,36977757,216813,20201249
2/23/21,NY,38031.0,90,5977.0,1176.0,799,1591585,6654,36760944,157333,36760944,157333,20201249
2/22/21,NY,37941.0,90,5804.0,1148.0,780,1584931,6146,36603611,142019,36603611,142019,20201249
2/21/21,NY,37851.0,75,5764.0,1162.0,794,1578785,6610,36461592,221157,36461592,221157,20201249
2/20/21,NY,37776.0,101,5977.0,1162.0,801,1572175,7692,36240435,251645,36240435,251645,20201249
2/19/21,NY,37675.0,119,6155.0,1199.0,834,1564483,8710,35988790,249248,35988790,249248,20201249
2/18/21,NY,37556.0,116,6434.0,1258.0,863,1555773,6794,35739542,215731,35739542,215731,20201249
2/17/21,NY,37440.0,112,6574.0,1273.0,854,1548979,6092,35523811,169963,35523811,169963,20201249
2/16/21,NY,37328.0,107,6620.0,1271.0,878,1542887,6753,35353848,136392,35353848,136392,20201249
2/15/21,NY,37221.0,103,6623.0,1270.0,875,1536134,6365,35217456,180504,35217456,180504,20201249
2/14/21,NY,37118.0,109,6593.0,1285.0,881,1529769,8316,35036952,234708,35036952,234708,20201249
2/13/21,NY,37009.0,127,6888.0,1328.0,908,1521453,8763,34802244,253563,34802244,253563,20201249
2/12/21,NY,36882.0,139,7068.0,1358.0,941,1512690,8404,34548681,237134,34548681,237134,20201249
2/11/21,NY,36743.0,124,7342.0,1402.0,941,1504286,10099,34311547,285499,34311547,285499,20201249
2/10/21,NY,36619.0,138,7593.0,1423.0,955,1494187,7101,34026048,176750,34026048,176750,20201249
2/9/21,NY,36481.0,142,7875.0,1412.0,971,1487086,7866,33849298,153648,33849298,153648,20201249
2/8/21,NY,36339.0,115,7716.0,1454.0,961,1479220,8448,33695650,197183,33695650,197183,20201249
2/7/21,NY,36224.0,145,7649.0,1459.0,979,1470772,10025,33498467,250892,33498467,250892,20201249
2/6/21,NY,36079.0,159,7804.0,1481.0,995,1460747,11252,33247575,261285,33247575,261285,20201249
2/5/21,NY,35920.0,153,7937.0,1516.0,1000,1449495,8777,32986290,203627,32986290,203627,20201249
2/4/21,NY,35767.0,136,7967.0,1506.0,986,1440718,7414,32782663,169186,32782663,169186,20201249
2/3/21,NY,35631.0,165,8082.0,1522.0,1003,1433304,5925,32613477,126489,32613477,126489,20201249
